id,condition,perceived_alt,actC_avg_m_alt,actC_avg_p_alt,actC_avg_a_alt,actMO_avg_m_alt,actMO_avg_s_alt,actMO_avg_e_alt,actMO_avg_o_alt,perceived_self,actC_avg_m_self,actC_avg_p_self,actC_avg_a_self,actMO_avg_m_self,actMO_avg_s_self,actMO_avg_e_self,actMO_avg_o_self,rt,alt_comp_e,alt_comp_m,alt_comp_o,alt_comp_s,alt_comp
151,3,4.958333333,5.5,4.75,4.625,2.5,4.666666667,4.333333333,8.333333333,1,1.375,0.875,0.75,0.833333333,0.166666667,1.833333333,1.166666667,20.541125,1.25,0.833333333,3.583333333,2.25,1.979166667
152,1,4.958333333,5,5,4.875,,,,,0,0,0,0,,,,,10.0695,,,,,2.479166667
153,2,5.25,5.25,5,5.5,1.666666667,3,7.166666667,9.166666667,3.666666667,3.75,3.75,3.5,7.333333333,5.666666667,1.5,0.166666667,13.043125,2.833333333,-2.833333333,4.5,-1.333333333,0.791666667
154,2,5.333333333,3,4,9,2.333333333,3.333333333,5.5,10,3.733333333,5.4,4.4,1.4,7,0.333333333,5.666666667,0,55.3742,-0.083333333,-2.333333333,5,1.5,0.8
155,1,6.958333333,7.125,7.125,6.625,,,,,0.041666667,0,0.125,0,,,,,3.291625,,,,,3.458333333
156,3,5.916666667,6.25,5.625,5.875,4,4.833333333,6.833333333,8,2.208333333,2.375,2,2.25,3,3.166666667,1.333333333,1.333333333,4.249625,2.75,0.5,3.333333333,0.833333333,1.854166667
157,1,10,10,10,10,,,,,0,0,0,0,,,,,7.642,,,,,5
158,3,8.5,8.375,8.625,8.5,8,8.166666667,9.5,8.333333333,0.458333333,0.375,0.75,0.25,1,0.666666667,0,0.166666667,6.934625,4.75,3.5,4.083333333,3.75,4.020833333
159,3,6.791666667,6.625,7,6.75,5.5,6,7.666666667,8,1.5,1.625,1.375,1.5,2.666666667,1,1.833333333,0.5,10.553625,2.916666667,1.416666667,3.75,2.5,2.645833333
160,2,6.458333333,5.125,6.75,7.5,4.5,3.166666667,9.5,8.666666667,1.958333333,2.75,1.5,1.625,3.5,4,0,0.333333333,15.793125,4.75,0.5,4.166666667,-0.416666667,2.25
161,1,6.791666667,6.625,7.125,6.625,,,,,0,0,0,0,,,,,11.317125,,,,,3.395833333
162,2,4.25,3.75,4.875,4.125,5,5.5,5.833333333,0.666666667,4,3.875,4.5,3.625,4.666666667,5,5.5,0.833333333,10.99125,0.166666667,0.166666667,-0.083333333,0.25,0.125
163,2,7.733333333,8,7.4,7.8,3.666666667,7,9,10,2.466666667,2.6,2.4,2.4,7.333333333,5,0,0,6.609,4.5,-1.833333333,5,1,2.633333333
164,1,7.875,7.625,7.875,8.125,,,,,0.583333333,0.5,0.75,0.5,,,,,22.157,,,,,3.645833333
165,2,4.833333333,5.125,4.75,4.625,1.833333333,1.666666667,7.166666667,8.666666667,4.291666667,4.5,3.5,4.875,7.666666667,7,1.833333333,0.666666667,21.16125,2.666666667,-2.916666667,4,-2.666666667,0.270833333
166,2,2.916666667,3.125,3,2.625,2.166666667,3.833333333,2.833333333,2.833333333,2.625,3.25,2.875,1.75,1.833333333,4.166666667,2.833333333,1.666666667,1.12275,0,0.166666667,0.583333333,-0.166666667,0.145833333
167,1,6.208333333,5.75,6.625,6.25,,,,,2.375,2.625,2.125,2.375,,,,,13.918,,,,,1.916666667
168,1,7.5,6.75,8.125,7.625,,,,,0,0,0,0,,,,,7.6945,,,,,3.75
169,1,9.458333333,9.25,9.625,9.5,,,,,0,0,0,0,,,,,6.906875,,,,,4.729166667
170,2,4.375,3.875,5.25,4,1.166666667,2.333333333,4.833333333,9.166666667,0.833333333,0.625,1,0.875,2.333333333,1,0,0,10.28775,2.416666667,-0.583333333,4.583333333,0.666666667,1.770833333
171,3,6.333333333,6.25,6.375,6.375,6.666666667,6.166666667,6.333333333,6.166666667,1,1.125,0.875,1,0.666666667,0.333333333,0.166666667,2.833333333,11.576625,3.083333333,3,1.666666667,2.916666667,2.666666667
172,3,9.166666667,9.5,8.5,9.5,8.333333333,9.166666667,9.666666667,9.5,2.916666667,2.875,3.375,2.5,7,2.666666667,1.166666667,0.833333333,10.44975,4.25,0.666666667,4.333333333,3.25,3.125
173,2,4.916666667,5,4.75,5,4.833333333,4.666666667,5,5.166666667,5.25,5,5.625,5.125,7.333333333,7,3.833333333,2.833333333,21.721625,0.583333333,-1.25,1.166666667,-1.166666667,-0.166666667
174,2,4.291666667,4.375,4.375,4.125,4.166666667,4.333333333,4.333333333,4.333333333,3.291666667,3,3.625,3.25,6.166666667,2.166666667,2.5,2.333333333,19.4445,0.916666667,-1,1,1.083333333,0.5
175,1,8.833333333,8.75,8.75,9,,,,,0.916666667,0.875,1,0.875,,,,,7.7855,,,,,3.958333333
176,3,8.25,7.875,8.375,8.5,8.333333333,8,8.5,8.166666667,1.208333333,1.125,1.125,1.375,1.5,1,1.166666667,1.166666667,14.67925,3.666666667,3.416666667,3.5,3.5,3.520833333
177,1,3.791666667,4.25,4.25,2.875,,,,,4.125,4.75,4.625,3,,,,,8.57425,,,,,-0.166666667
178,2,0.416666667,1.25,0,0,0,0,0,1.666666667,0,0,0,0,0,0,0,0,11.668625,0,0,0.833333333,0,0.208333333
179,3,6.125,5.875,6.5,6,7.333333333,5.666666667,5.833333333,5.666666667,1.25,1.125,1.5,1.125,1.166666667,0.166666667,2.166666667,1.5,10.93875,1.833333333,3.083333333,2.083333333,2.75,2.4375
180,3,9.875,9.875,9.875,9.875,9.5,10,10,10,0.083333333,0.125,0,0.125,0.333333333,0,0,0,11.7645,5,4.583333333,5,5,4.895833333
181,2,8.8,7.6,8.8,10,7.666666667,6.666666667,9.833333333,10,1.266666667,2,1.2,0.6,2.333333333,2.333333333,0.666666667,0.333333333,8.242,4.583333333,2.666666667,4.833333333,2.166666667,3.766666667
182,1,7.708333333,7.625,7.625,7.875,,,,,0.458333333,0.5,0.375,0.5,,,,,5.75475,,,,,3.625
183,2,3.833333333,3.75,3.875,3.875,3.333333333,0.833333333,4.833333333,6.333333333,2.75,3.125,2.375,2.75,3.833333333,4,2.833333333,0.333333333,13.5825,1,-0.25,3,-1.583333333,0.541666667
